id,playerId,sourcePlayerName,displayName,originalChineseSurname,realSurname,season,team,position,quality,qualityName,sourceLeague,isActiveEra,isCuratedStar,isChineseNationalSpecial,nba2kOverall,nba2kPotential,nba2kPotentialRuleApplied,specialQualityReason,goatAttributeOverrideApplied,profileSourceGroup,nba2kAllTimeReference,nba2kAllTimeOverall,nba2kAllTimeTeams,scoring,rebound,assist,steal,block,stat_points_per_game,stat_rebounds_per_game,stat_assists_per_game,stat_steals_per_game,stat_blocks_per_game,cbaAwardProfile
card_q03_001,qizh01,Zhou Qi,洲琦,周琦,Qi,2018,HOU,C,3,新秀,NBA,False,True,True,,,False,,False,ChinaSpecial,False,,,50,36,20,4,20,1.2,1.2,0.1,0.1,0.8,
card_q03_002,jianlyi01,Yi Jianlian,奕建联,易建联,Jianlian,2008,MIL,PF,3,新秀,NBA,False,True,True,,,False,,False,ChinaSpecial,False,,,180,90,20,19,20,8.6,5.2,0.8,0.5,0.8,
card_q03_003,cuiyo01,Cui Yongxi,崔勇熙,崔永熙,Yongxi,2025,BRK,SG,3,新秀,NBA,True,True,True,,,False,,False,ChinaSpecial,False,,,50,30,20,0,0,0.6,0.4,0.0,0.0,0.0,
card_q03_004,yangha01,Yang Hansen,阳瀚森,杨瀚森,Hansen,2026,POR,C,3,新秀,NBA,True,True,True,70.0,,False,,False,ChinaSpecial,False,,,62,45,20,4,7,2.2,1.5,0.5,0.1,0.2,
card_q03_005,zhizhwa01,Wang Zhizhi,望治郅,王治郅,Zhizhi,2001,DAL,C,3,新秀,NBA,False,True,True,,,False,,False,ChinaSpecial,False,,,134,42,20,0,0,4.8,1.4,0.0,0.0,0.0,
card_q03_006,anderky01,Kyle Anderson,理凯尔,李凯尔,Anderson,2015,SAS,SF,3,新秀,NBA,True,True,True,77.0,79.0,False,,False,ChinaSpecial,False,,,62,66,20,19,7,2.2,2.2,0.8,0.5,0.2,
card_q03_007,mingya01,Yao Ming,尧明,姚明,Ming,2003,HOU,C,3,新秀,NBA,False,True,True,91.0,91.0,False,,False,Extra24+ChinaSpecial,True,91.0,休斯顿火箭,180,90,37,15,20,13.5,8.2,1.7,0.4,1.8,
card_q03_008,bateeme01,Mengke Bateer,芭特尔,巴特尔,Bateer,2002,DEN,C,3,新秀,NBA,False,True,True,,,False,,False,ChinaSpecial,False,,,143,90,20,15,7,5.1,3.6,0.8,0.4,0.2,
card_q03_009,yuesu01,Sun Yue,荪悦,孙悦,Yue,2009,LAL,SG,3,新秀,NBA,False,True,True,,,False,,False,ChinaSpecial,False,,,50,30,20,4,4,0.6,0.0,0.2,0.1,0.1,
card_q03_010,flaggco01,Cooper Flagg,芙拉格,弗拉格,Flagg,2026,DAL,SF,3,新秀,NBA,True,False,False,82.0,,False,,False,,False,,,180,90,50,20,20,21.0,6.7,4.5,1.2,0.9,
card_q03_011,edgecvj01,VJ Edgecombe,埃奇酷姆,埃奇库姆,Edgecombe,2026,PHI,SG,3,新秀,NBA,True,False,False,76.0,,False,,False,,False,,,180,90,50,20,18,16.0,5.6,4.2,1.4,0.5,
card_q03_012,harpedy01,Dylan Harper,哈魄,哈珀,Harper,2026,SAS,SG,3,新秀,NBA,True,False,False,78.0,,False,,False,,False,,,180,90,50,20,10,11.8,3.4,3.9,0.8,0.3,
card_q03_013,wembavi01,Victor Wembanyama,文般亚玛,文班亚马,Wembanyama,2024,SAS,C,3,新秀,NBA,True,False,False,94.0,99.0,True,NBA 2K25 potential 99; treated as rookie-to-GOAT ceiling except bench tiers.,False,,True,86.0,圣安东尼奥马刺,180,90,50,20,20,21.4,10.6,3.9,1.2,3.6,
card_q03_014,mobleev01,Evan Mobley,墨布里,莫布里,Mobley,2022,CLE,PF,3,新秀,NBA,True,False,False,89.0,97.0,False,,False,,True,89.0,克里夫兰骑士,180,90,50,20,20,15.0,8.3,2.5,0.8,1.7,
card_q03_015,cunnica01,Cade Cunningham,侃宁安,坎宁安,Cunningham,2022,DET,SG,3,新秀,NBA,True,False,False,92.0,96.0,False,,False,,False,,,180,90,50,20,20,17.4,5.5,5.6,1.2,0.7,
card_q03_016,banchpa01,Paolo Banchero,班恺罗,班凯罗,Banchero,2023,ORL,PF,3,新秀,NBA,True,False,False,89.0,94.0,False,,False,,True,90.0,奥兰多魔术,180,90,50,20,18,20.0,6.9,3.7,0.8,0.5,
card_q03_017,holmgch01,Chet Holmgren,豁姆格伦,霍姆格伦,Holmgren,2024,OKC,C,3,新秀,NBA,True,False,False,88.0,94.0,False,,False,,False,,,180,90,50,20,20,16.5,7.9,2.4,0.6,2.3,
card_q03_018,castlst01,Stephon Castle,喀斯尔,卡斯尔,Castle,2025,SAS,PG,3,新秀,NBA,True,False,False,82.0,93.0,False,,False,,False,,,180,90,50,20,10,14.7,3.7,4.1,0.9,0.3,
card_q03_019,willija06,Jalen Williams,维廉姆斯,威廉姆斯,Williams,2023,OKC,SG,3,新秀,NBA,True,False,False,90.0,92.0,False,,False,,True,89.0,俄克拉荷马雷霆,180,90,50,20,18,14.1,4.5,3.3,1.4,0.5,
card_q03_020,thompam01,Amen Thompson,唐普森,汤普森,Thompson,2024,HOU,SF,3,新秀,NBA,True,False,False,87.0,92.0,False,,False,,False,,,180,90,50,20,20,9.5,6.6,2.6,1.3,0.6,
card_q03_021,barnesc01,Scottie Barnes,芭恩斯,巴恩斯,Barnes,2022,TOR,PF,3,新秀,NBA,True,False,False,85.0,90.0,False,,False,,True,87.0,多伦多猛龙,180,90,50,20,20,15.3,7.5,3.5,1.1,0.7,
card_q03_022,wagnefr01,Franz Wagner,瓦阁纳,瓦格纳,Wagner,2022,ORL,SF,3,新秀,NBA,True,False,False,86.0,90.0,False,,False,,False,,,180,90,50,20,14,15.2,4.5,2.9,0.9,0.4,
card_q03_023,greenja05,Jalen Green,阁林,格林,Green,2022,HOU,SG,3,新秀,NBA,True,False,False,83.0,90.0,False,,False,,False,,,180,90,50,20,10,17.3,3.4,2.6,0.7,0.3,
card_q03_024,halibty01,Tyrese Haliburton,哈里搏顿,哈顿,Haliburton,2021,SAC,PG,3,新秀,NBA,True,False,False,93.0,90.0,False,,False,,True,91.0,印第安纳步行者,180,90,50,20,18,13.0,3.0,5.3,1.3,0.5,
card_q03_025,jamesle01,LeBron James,瞻姆斯,詹姆斯,James,2004,CLE,SG,3,新秀,NBA,True,True,False,94.0,99.0,False,,False,NBA75,True,99.0,洛杉矶湖人 / 迈阿密热火 / 克里夫兰骑士,180,90,50,20,20,20.9,5.5,5.9,1.6,0.7,
card_q03_026,curryst01,Stephen Curry,酷里,库里,Curry,2010,GSW,PG,3,新秀,NBA,True,True,False,94.0,99.0,False,,False,NBA75,True,98.0,金州勇士,180,90,50,20,7,17.5,4.5,5.9,1.9,0.2,
card_q03_027,duranke01,Kevin Durant,渡兰特,杜兰特,Durant,2008,SEA,SG,3,新秀,NBA,True,True,False,93.0,99.0,False,,False,NBA75,True,97.0,金州勇士 / 俄克拉荷马雷霆 / 菲尼克斯太阳 / 布鲁克林篮网,180,90,50,20,20,20.3,4.4,2.4,1.0,0.9,
