rank,display_name,source_player_name,player_id,source_group,is_official_75,extra_reason,is_chinese_national_special,from_season,to_season,seasons_played,peak_points_per_game,all_star_count,all_nba_count,mvp_seasons,has_fmvp,has_sixth_man,is_hall_of_fame_quality,is_legend_quality,is_goat_quality,quality_levels,quality_names,quality_basis,goat_attribute_override
1,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,abdulka01,NBA75,True,,False,1970,1989,20,34.8,19,15,1980|1977|1976|1974|1972|1971,True,False,True,True,False,3|7|8|9|10|11|12|13|14,新秀|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂|传奇,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 19"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 15"", ""MVP"": ""MVP赛季: 1980, 1977, 1976, 1974, 1972, 1971"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历"", ""传奇"": ""历史顶级/队史图腾级球星""}",
2,Ray Allen,Ray Allen,allenra02,NBA75,True,,False,1997,2014,18,26.4,10,2,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 10"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 2"", ""名人堂"": ""官方75大或名人堂履历""}",
3,Giannis Antetokounmpo,Giannis Antetokounmpo,antetgi01,NBA75,True,,False,2014,2026,13,31.1,10,9,2020|2019,True,False,True,False,False,3|7|8|9|10|11|12|13,新秀|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 10"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 9"", ""MVP"": ""MVP赛季: 2020, 2019"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历""}",
4,Carmelo Anthony,Carmelo Anthony,anthoca01,NBA75,True,,False,2004,2022,19,28.9,10,6,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 10"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 6"", ""名人堂"": ""官方75大或名人堂履历""}",
5,Nate Archibald,Tiny Archibald,architi01,NBA75,True,,False,1971,1984,14,34.0,6,5,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 6"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 5"", ""名人堂"": ""官方75大或名人堂履历""}",
6,Paul Arizin,Paul Arizin,arizipa01,NBA75,True,,False,1951,1962,12,26.4,10,4,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 10"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 4"", ""名人堂"": ""官方75大或名人堂履历""}",
7,Charles Barkley,Charles Barkley,barklch01,NBA75,True,,False,1985,2000,16,28.3,11,11,1993,False,False,True,False,False,3|7|8|9|10|11|13,新秀|首发|核心|全明星|最佳阵容|MVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 11"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 11"", ""MVP"": ""MVP赛季: 1993"", ""名人堂"": ""官方75大或名人堂履历""}",
8,Rick Barry,Rick Barry,barryri01,NBA75,True,,False,1966,1980,15,35.6,12,10,,True,False,True,False,False,3|7|8|9|10|12|13,新秀|首发|核心|全明星|最佳阵容|FMVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 12"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 10"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历""}",
9,Elgin Baylor,Elgin Baylor,bayloel01,NBA75,True,,False,1959,1972,14,38.3,11,10,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 11"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 10"", ""名人堂"": ""官方75大或名人堂履历""}",
10,Dave Bing,Dave Bing,bingda01,NBA75,True,,False,1967,1978,12,27.1,7,3,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 7"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 3"", ""名人堂"": ""官方75大或名人堂履历""}",
