sheet,slot,row,column,player_file
1,1,1,1,Allen_Iverson.png
1,2,1,2,Alonzo_Mourning.png
1,3,1,3,Amar'e_Stoudemire.png
1,4,1,4,Amen_Thompson.png
1,5,1,5,Andrew_Wiggins.png
1,6,2,1,Antawn_Jamison.jpg
1,7,2,2,Anthony_Davis.png
1,8,2,3,Anthony_Edwards.png
1,9,2,4,Arvydas_Sabonis.webp
1,10,2,5,Ben_Simmons.png
1,11,3,1,Ben_Wallace.png
1,12,3,2,Bill_Russell.png
1,13,3,3,Bill_Walton.png
1,14,3,4,Blake_Griffin.png
1,15,3,5,Bob_Pettit.png
1,16,4,1,Cade_Cunningham.png
1,17,4,2,Carmelo_Anthony.png
1,18,4,3,Charles_Barkley.png
1,19,4,4,Chauncey_Billups.png
1,20,4,5,Chet_Holmgren.png
1,21,5,1,Chris_Bosh.png
1,22,5,2,Chris_Mullin.png
1,23,5,3,Chris_Paul.png
1,24,5,4,Chris_Webber.png
1,25,5,5,Clyde_Drexler.png
2,1,1,1,Cooper_Flagg.png
2,2,1,2,Cui_Yongxi.png
2,3,1,3,Damian_Lillard.png
2,4,1,4,David_Robinson.png
2,5,1,5,Deandre_Ayton.png
2,6,2,1,DeMarcus_Cousins.png
2,7,2,2,Dennis_Rodman.png
2,8,2,3,Derrick_Rose.png
2,9,2,4,Devin_Booker.png
2,10,2,5,Dikembe_Mutombo.png
2,11,3,1,Dirk_Nowitzki.png
2,12,3,2,Dominique_Wilkins.png
2,13,3,3,Donovan_Mitchell.png
2,14,3,4,Draymond_Green.png
2,15,3,5,Dwight_Howard.png
2,16,4,1,Dwyane_Wade.png
2,17,4,2,Dylan_Harper.png
2,18,4,3,Evan_Mobley.png
2,19,4,4,Franz_Wagner.png
2,20,4,5,Fred_VanVleet.png
2,21,5,1,Gary_Payton.png
2,22,5,2,Giannis_Antetokounmpo.png
2,23,5,3,Grant_Hill.png
2,24,5,4,Greg_Oden.jpg
2,25,5,5,Hakeem_Olajuwon.png
3,1,1,1,Isiah_Thomas.png
3,2,1,2,J.R._Smith.png
3,3,1,3,Jalen_Brunson.png
3,4,1,4,Jalen_Green.png
3,5,1,5,Jalen_Williams.png
3,6,2,1,James_Harden.png
3,7,2,2,James_Worthy.png
3,8,2,3,Jason_Kidd.webp
3,9,2,4,Jason_Terry.png
3,10,2,5,Jaylen_Brown.png
3,11,3,1,Jayson_Tatum.png
3,12,3,2,Jerry_West.png
3,13,3,3,Jimmy_Butler.png
3,14,3,4,Joe_Dumars.png
3,15,3,5,Joel_Embiid.png
3,16,4,1,John_Stockton.png
3,17,4,2,John_Wall.png
3,18,4,3,Julius_Erving.png
3,19,4,4,Kareem_Abdul-Jabbar.png
3,20,4,5,Karl_Malone.png
3,21,5,1,Kawhi_Leonard.png
3,22,5,2,Kevin_Durant.png
3,23,5,3,Kevin_Garnett.png
3,24,5,4,Kevin_Johnson.png
3,25,5,5,Kevin_McHale.png
4,1,1,1,Klay_Thompson.png
4,2,1,2,Kobe_Bryant.png
4,3,1,3,Kyle_Anderson.png
4,4,1,4,Kyrie_Irving.png
4,5,1,5,Larry_Bird.png
4,6,2,1,LeBron_James.png
4,7,2,2,Luka_Dončić.png
4,8,2,3,Magic_Johnson.png
4,9,2,4,Manu_Ginóbili.png
4,10,2,5,Marc_Gasol.png
4,11,3,1,Mengke_Bateer.jpg
4,12,3,2,Michael_Jordan.png
4,13,3,3,Moses_Malone.png
4,14,3,4,Nick_Young.png
4,15,3,5,Nikola_Jokić.png
4,16,4,1,Oscar_Robertson.png
4,17,4,2,Paolo_Banchero.png
4,18,4,3,Patrick_Ewing.webp
4,19,4,4,Pau_Gasol.png
4,20,4,5,Paul_George.png
4,21,5,1,Paul_Pierce.png
4,22,5,2,Rajon_Rondo.png
4,23,5,3,Ray_Allen.png
4,24,5,4,Robert_Parish.png
4,25,5,5,Russell_Westbrook.png
5,1,1,1,Scottie_Barnes.png
5,2,1,2,Scottie_Pippen.png
5,3,1,3,Shai_Gilgeous-Alexander.png
5,4,1,4,Shaquille_O'Neal.png
5,5,1,5,Stephen_Curry.png
5,6,2,1,Stephon_Castle.png
5,7,2,2,Steve_Nash.png
5,8,2,3,Sun_Yue.jpg
5,9,2,4,Tim_Duncan.png
5,10,2,5,Toni_Kukoč.png
5,11,3,1,Tony_Parker.png
5,12,3,2,Tracy_McGrady.png
5,13,3,3,Trae_Young.png
5,14,3,4,Tyrese_Haliburton.png
5,15,3,5,Victor_Wembanyama.png
5,16,4,1,Vince_Carter.png
5,17,4,2,VJ_Edgecombe.png
5,18,4,3,Vlade_Divac.png
5,19,4,4,Walt_Frazier.png
5,20,4,5,Wang_Zhizhi.jpg
5,21,5,1,Wilt_Chamberlain.png
5,22,5,2,Yang_Hansen.png
5,23,5,3,Yao_Ming.png
5,24,5,4,Yi_Jianlian.png
5,25,5,5,Zach_LaVine.png
6,1,1,1,Zhou_Qi.png
6,2,1,2,Zion_Williamson.png
6,3,1,3,丁彦雨航.jpg
6,4,1,4,刘玉栋.jpg
6,5,1,5,吴前.jpg
6,6,2,1,唐正东.jpg
6,7,2,2,姚明.png
6,8,2,3,孙军.jpg
6,9,2,4,巩晓彬.jpg
6,10,2,5,巴特尔.jpg
6,11,3,1,易建联.png
6,12,3,2,朱芳雨.jpg
6,13,3,3,杜锋.jpg
6,14,3,4,王仕鹏.jpg
6,15,3,5,王哲林.jpg
6,16,4,1,王治郅.jpg
6,17,4,2,胡卫东.jpg
6,18,4,3,胡明轩.jpg
6,19,4,4,胡金秋.jpg
6,20,4,5,贺希宁.jpg
6,21,5,1,赵继伟.jpg
6,22,5,2,阿不都沙拉木.jpg
